Tweet,Tweet Datetime,Twitter Username,Twitter User Location
"National Drug Authority Approves COVIDEX For Treatment https://t.co/uDKqe5ykP7
Dir. of the Africa Centres for Disease Control and Prevention Nkengasong said """"[..] that #Africa was losing the bat… https://t.co/Un1I0v8gOg""",2021-06-29 09:25:33,Pernille Bærendtsen,"Copenhagen, Denmark"
"region’s most vulnerable, while also paralyzing #investment #productivity #growth"" @KGeorgieva @IMFnews. ""In short,… https://t.co/w862JMisTG",2021-06-29 09:00:07,André Castro,"Bonn, Germany"
"#Zambia Bars, taverns and casinos closed as the government enforces new measures to prevent further spread of… https://t.co/AIxZVVjXVm",2021-06-29 08:58:39,Africafrique Africanews,Africa
"Interactive map updated weekly to follow the spread of the #pandemic across #Africa 
https://t.co/0O4tKfYpeI",2021-06-29 07:45:06,The Africa Report,"Paris, France"
Coronavirus - South Africa: COVID-19 Statistics for RSA (28 June 2021) @nicd_sa #Africa #SouthAfrica #Health… https://t.co/V6jHCbbKGN,2021-06-28 19:29:06,APO Group English,#AFRICA #MENA
Coronavirus - Malawi: COVID-19 Daily Info Update (27 June 2021) @health_malawi #Africa #Malawi #Health… https://t.co/dqelHmmOIA,2021-06-28 18:36:59,APO Group English,#AFRICA #MENA
Coronavirus - Malawi: COVID-19 Daily Info Update (27 June 2021) @health_malawi #Africa #Malawi #Health… https://t.co/wUoARitCHw,2021-06-28 18:34:34,APO Group English,#AFRICA #MENA
At least 14 countries in #Africa have used up all or most of their #vaccine stocks. But at least 23 others still ha… https://t.co/W3OxnqVLfi,2021-06-28 18:21:00,The New Humanitarian,
Scaling up active surveillance for COVID-19 and training community health workers to contain its spread @WHOEMRO… https://t.co/Xmvf0SDPKR,2021-06-28 13:03:33,APO Group English,#AFRICA #MENA
"Passengers from the Southern African region not allowed to enter SL from 01st July
READ MORE:… https://t.co/Hb2ofCl1wm",2021-06-28 12:23:04,Newsfirst.lk Sri Lanka,"Colombo, Sri Lanka"
"Update on the number of new #covid19 cases and deaths reported in #Africa. 
Yesterday, there were 27,555 new cases… https://t.co/7ldaY7lAwQ",2021-06-28 11:50:48,Beautify Data,"Miramar, Florida"
"First trial #Participants vaccinated with #Oxford COVID-19 variant vaccine 
https://t.co/r3ykyJKn6F
Just In: Crossing from Kosi Bay to Ponta do Ouro – #SouthAfrica reopens passage to #Mozambique – Noticias… https://t.co/g80yZm825S,2021-06-28 11:03:45,Club of Mozambique,Maputo","Mozambique""",,
"#COVID-19 #coronavirus restrictions tighten in South #Africa ... 
| #SARSCoV2 | #pandemic | #SouthAfrica |… https://t.co/fj8MmmJ0kx",2021-06-28 11:00:19,Microbes.info,Earth
"Start the week with some #pandemic updates
https://t.co/9BytSd4cfs
Editorial: Liberia - A Comprehensive Approach Is Required to Defeat the Surge of the Coronavirus - African Star New… https://t.co/V5mmblxpOn,2021-06-28 10:02:52,AfricanStar,
Here is a link to our latest #Africa &amp; #coronavirus alert which contains updates about the impact #COVID #pandemic… https://t.co/XKHLGwYKQV,2021-06-28 09:43:54,Africa Alert,United Kingdom
#Mozambique suspends Ponta do Ouro border crossing over Covid | BBC report",,,
https://t.co/Kqpld0US9E,,,
Coronavirus - South Africa: COVID-19 Statistics in South Africa (27 June 2021) @HealthZA #SouthAfrica #Health… https://t.co/8h1WPKfGKM,2021-06-28 07:53:31,APO Group English,#AFRICA #MENA
Coronavirus - Eswatini: COVID-19 daily info update (27 June 2021) @EswatiniGovern1 #Eswatini #Health #Pandemic… https://t.co/cfcQQ9sAVG,2021-06-28 07:32:33,APO Group English,#AFRICA #MENA
Coronavirus - Rwanda: COVID-19 update (27 June 2021) @RwandaHealth #Rwanda #Health #Pandemic #COVID19 #Testing… https://t.co/fssLriT7nD,2021-06-28 06:30:04,APO Group English,#AFRICA #MENA
"Are African nations doing enough to curb COVID-19?
The World Health Organization ( #WHO) is warning of a third wave… https://t.co/CTzBtCRMOy",2021-06-28 06:28:03,hypergrowth,Singapore
"#WHO worries over spread of #DeltaVariant across #Africa. #Covid_19 #coronavirus
https://t.co/LlFicOhfxX",2021-06-27 21:29:49,Moritz zu Hause Bleiben 🇪🇺,
"Africans ‘dangerously exposed’ by lack of Covid jabs, says WHO https://t.co/cxDzhB6bnC #africa #Africans #COVID… https://t.co/hyIyDOVaxP",2021-06-27 17:29:52,Action Africa,"Washington, DC"
"South #Africa reported over 19,000 new #coronavirus infections which are said to be fueled by the highly transmissi… https://t.co/Cu8X2FXNB7",2021-06-27 15:44:14,Steve Kuriigamba,"Kampala, Uganda"
Coronavirus - Kenya: COVID-19 Update (26 June 2021) @MOH_Kenya #Africa #Kenya #Health #InfectiousDisease… https://t.co/V5k1DxF3IV,2021-06-27 12:58:18,APO Group English,#AFRICA #MENA
"A day in the life of Gabezech,There were many people who lost their home... https://t.co/4gSq8UuHTe via @YouTube… https://t.co/QEon3KMeF5",2021-06-27 12:14:42,Zaffar,"Punjab, India"
This video sums up the pandemic &amp; people not using common sense it’s a bad ripple effect ... 👀 #GetVaccinated… https://t.co/wvLidXfhL6,2021-06-27 12:10:38,SavsMom,Covering the Globe
African Development Bank 2021 Annual Meetings: Members show support for plan to tackle Covid-19 @AfDB_Group… https://t.co/HjdCJmOXlM,2021-06-27 10:51:11,APO Group English,#AFRICA #MENA
"🇺🇬⚕️🦠
Child labour in Uganda: The hidden costs of Covid https://t.co/7F12jlAnym via @BBCNews 
Coronavirus - Zambia: COVID-19 Statistics Daily Status Update (26 June 2021) @ZMPublicHealth @mohzambia #Africa… https://t.co/bF6YmM33EA,2021-06-27 09:20:33,APO Group English,#AFRICA #MENA
Africa's Covid patients 'dying from lack of oxygen' https://t.co/IZHu9T2vxE",,,
World Bank and #AfricanUnion Team Up to Support Rapid Vaccination for Up to 400 million People in Africa… https://t.co/YLCLAypdGt,2021-06-27 06:11:43,Action Africa,"Washington, DC"
"Supporting Science in Africa’s Pandemic Response https://t.co/hwQc46rP2F
#Afrigen gears up to deliver Africa's first COVID-19 mRNA vaccine",,,
https://t.co/73zm8DDjdv,,,
"What is your preference? Let us know. Connect with us to know more.
Africa battles new COVID-19 wave hitting faster and harder https://t.co/oOMNdz9zao",,,
"Africa CDC says continent not winning against 'brutal' COVID-19 pandemic https://t.co/163MdN63hD
Record daily #COVID-19 #coronavirus incidences reported in #Tunisia ...",,,
"| #SARSCoV2 | #Infections | #Africa |… https://t.co/4apUsir6N6""",2021-06-26 23:00:24,Microbes.info,Earth
"Pratibha Thaker, editorial director for the #MiddleEast and #Africa @TheEIU, talks about forecasting #SaudiArabia’s… https://t.co/i3DlhvV13l",2021-06-26 19:10:35,Global Tactics,"Seattle, WA"
"🇺🇬⚕️🦠
Child labour in Uganda: The hidden costs of Covid https://t.co/7F12jlRYWW via @BBCNews 
Latest #coronavirus updates from #Africa #COVID19 update in Africa as of 26/06/2021 at 6 PM (EAT).More at… https://t.co/oP3JpUsAMb,2021-06-26 17:31:33,Zeinobia got vaccinated 💉,Egypt
Coronavirus - South Africa: COVID-19 Statistics in South Africa (25 June 2021) @HealthZA #Africa #SouthAfrica… https://t.co/LWVZiKqg30,2021-06-26 16:44:30,APO Group English,#AFRICA #MENA
Coronavirus - South Africa: COVID-19 Statistics for RSA (25 June 2021) @nicd_sa #Africa #SouthAfrica #Health… https://t.co/AOhadbqmUh,2021-06-26 16:35:26,APO Group English,#AFRICA #MENA
Coronavirus - Eswatini: COVID-19 Daily Info Update (25 June 2021) @EswatiniGovern1 #Africa #Eswatini #Health… https://t.co/geb4CQOq5s,2021-06-26 15:54:20,APO Group English,#AFRICA #MENA
Coronavirus - Zambia: COVID-19 Statistics Daily Status Update (25 June 2021) @ZMPublicHealth @mohzambia #Africa… https://t.co/l9GfrdV5KG,2021-06-26 15:42:00,APO Group English,#AFRICA #MENA
Coronavirus - Malawi: COVID-19 Daily Info Update (25 June 2021) @health_malawi #Africa #Malawi #Health… https://t.co/xfoPTemsov,2021-06-26 15:25:09,APO Group English,#AFRICA #MENA
Coronavirus - Kenya: COVID-19 Update (25 June 2021) @MOH_Kenya #Africa #Kenya #Health #InfectiousDisease… https://t.co/CRJw3PXxsI,2021-06-26 15:16:46,APO Group English,#AFRICA #MENA
The World Health Organisation in Africa says there have now been more than 5.3 million COVID-19 cases on the Africa… https://t.co/khKCVEc427,2021-06-26 14:46:25,Sudip Das,West Bengal","India """,,
African Development Bank 2021 Annual Meetings: Members show support for plan to tackle Covid-19 @AfDB_Group… https://t.co/wjMS82YeKS,2021-06-26 12:22:06,APO Group English,#AFRICA #MENA
Wow. It’s very true #covidnsw #covid #COVID #wuhanvirus #chinavirus started in #china #wuhan #WuhanLabLeak… https://t.co/0EsUA4VNnc,2021-06-26 05:33:32,Taylor,"Paris, France"
"The situation in #Africa, where new infections and deaths jumped by nearly 40% last week compared to the previous w… https://t.co/sUJO4YULw4",2021-06-26 04:08:00,The Daily Star,Bangladesh
"Covid-19: 'Just give us the vaccines,' WHO pleads, as poor countries go wanting 
The situation in #Africa is ""so d… https://t.co/OQW8lyqXdW",2021-06-26 04:01:59,Shuja Ahmed Ch.,"Dubai, UAE"
"Covid-19: 'Just give us the vaccines,' WHO pleads, as poor countries go wanting 
The situation in #Africa is ""so d… https://t.co/surzmrQFjc",2021-06-26 03:41:59,Khaleej Times,United Arab Emirates
"Meet Mr. @soulaceafrica, who against all odds, has worked relentlessly to foster #peace in #Nigeria and beyond.… https://t.co/OAIClbdzJl",2021-06-25 23:00:40,IMAssociates,"Tempe, AZ, USA"
"Interactive #map updated weekly to follow the spread of the #pandemic across #Africa 
https://t.co/f1QhYkEqH5",2021-06-25 21:37:13,The Africa Report,"Paris, France"
"Hello Everyone,
Are we seeing a repeat of the Indian COVID tragedy in Africa?
https://t.co/VEhvcAeLJL 
Coming up on @bbcworldservice 📻 #Weekend from 06:30 BST this Saturday with @Nanjala1 in #Nairobi @yanpal7 in… https://t.co/BkW94Owhja,2021-06-25 17:42:30,Albana Kasapi,London 
The lives of more and more children in #Africa are being impacted by a third wave of #coronavirus infections sweepi… https://t.co/EPpgC9czoB,2021-06-25 17:06:09,ANews,Istanbul","Turkey""",,
American epidemiologist: the time of the new coronavirus epidemic in the United States was earlier than the officia… https://t.co/CN5zoGmuUF,2021-06-25 16:18:37,🇺🇳China-US News ⚑（🇨🇳 People's Think Tank News）,Grim reape.hura Forbidden Land
"#Africa is facing a vicious #coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing… https://t.co/BtMzturRtx",2021-06-25 14:06:00,QantaraEN,Germany
"Update on the number of new #covid19 cases and deaths reported in #Africa. 
Yesterday, there were 33,699 new cases… https://t.co/CIj2kZsGR0",2021-06-25 12:00:25,Beautify Data,"Miramar, Florida"
"Africa is facing a vicious coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing he… https://t.co/H2LTz0Iqrn",2021-06-25 12:00:00,Advocates Philippines,Makati City
Officials from the @WHO have warned that #Africa’s third wave of #coronavirus threatens to be its worst yet. Lack o… https://t.co/vRL6vbAvdF,2021-06-25 11:15:00,A2 Global Risk,
"#Africa is facing a major #coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing he… https://t.co/T9LPlq8axG",2021-06-25 09:00:02,RFI English,"Paris, France"
"#Africa is facing a vicious coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing h… https://t.co/xMjGBcOeB5",2021-06-25 08:36:43,Gulf-Times,Al Hilal - C Ring Road
The number of Covid-19 cases in #Africa has increased at an unprecedented pace as continent grapples amid the ongoi… https://t.co/RKxoFlD9hk,2021-06-25 08:25:00,Business Standard,India
Coronavirus – Eritrea: Announcement from the Ministry of Health (24 June 2021) @hawelti #Eritrea #Health #Pandemic… https://t.co/u0NNubMhOv,2021-06-25 07:16:15,APO Group English,#AFRICA #MENA
Coronavirus - Kenya: COVID-19 update (24 June 2021) @MOH_Kenya #Kenya #Health #Pandemic #COVID19 #Testing… https://t.co/ERHKl0sRGu,2021-06-25 07:11:38,APO Group English,#AFRICA #MENA
"#Africa is facing a vicious #coronavirus resurgence, with unprecedented hospital admissions and fatalities pushing… https://t.co/X8Xtg5FrDV",2021-06-25 06:50:39,Arab News,Saudi Arabia
Coronavirus - South Africa: COVID-19 Statistics in South Africa (24 June 2021) @HealthZA #SouthAfrica #Health… https://t.co/vTLVkElzNT,2021-06-25 06:37:08,APO Group English,#AFRICA #MENA
Coronavirus - Eswatini: COVID-19 daily info update (24 June 2021) @EswatiniGovern1 #Eswatini #Health #Pandemic… https://t.co/xqCKclUPJy,2021-06-25 06:23:55,APO Group English,#AFRICA #MENA
Coronavirus - Rwanda: COVID-19 update (24 June 2021) @RwandaHealth #Rwanda #Health #Pandemic #COVID19 #Testing… https://t.co/HSUp08ZuhG,2021-06-25 06:08:26,APO Group English,#AFRICA #MENA
"Engage with customers in real-time, and hyper-personalize customer journeys for upsell/cross sell with our digital… https://t.co/3Zvt4cRSCR",2021-06-25 05:11:40,Intense Technologies,"Secunderabad, Telangana, India"
MUCH Ignored #CovidCrisis 2021:#Africa Battles new #COVID19 Wave Hitting Faster &amp; Harder #CovdiEmergency2021… https://t.co/ZmnHig82Me,2021-06-25 00:53:25,E.H. Hau #GetVaccinated,"Beautiful Vancouver, Canada"
COVID has disrupted Africa's cotton production. Here's how soap could provide a solution https://t.co/1DeoYNgikQ… https://t.co/20jgqA8NQy,2021-06-25 00:42:05,Supervised Feed,Web
"The #COVID19 calamity that India faced is a possible reality for #Africa. Why?
-Wave of new infections 🔄
-Not usin… https://t.co/zsZXLmJRwV",2021-06-24 22:40:21,Global Health Strategies,NY/Delhi/Rio/Beijing/Nairobi/Joburg/London
