Tweet	Tweet Datetime	Twitter Username	Twitter User Location	len	Tweets_Clean	Sentiment
National Drug Authority Approves COVIDEX For Treatment 	2021-06-29 09:25:33	Pernille Bærendtsen	Copenhagen, Denmark	55	national drug authority approves covidex treatment	Neutral
"region’s most vulnerable, while also paralyzing #investment #productivity #growth"" @KGeorgieva @IMFnews. ""In short,… "	2021-06-29 09:00:07	André Castro	Bonn, Germany	117	region vulnerable also paralyzing #productivity #growth @kgeorgieva @imfnews short	Negative
#Zambia Bars, taverns and casinos closed as the government enforces new measures to prevent further spread of… 	2021-06-29 08:58:39	Africafrique Africanews	Africa	111	#zambia bars taverns casinos closed government enforces measures prevent spread	Neutral
"Interactive map updated weekly to follow the spread of the #pandemic across #Africa 
"	2021-06-29 07:45:06	The Africa Report	Paris, France	85	interactive map updated weekly follow spread across	Neutral
Coronavirus - South Africa: COVID-19 Statistics for RSA (28 June 2021) @nicd_sa #Africa #SouthAfrica #Health… 	2021-06-28 19:29:06	APO Group English	#AFRICA #MENA	110	south africa statistics rsa 28 @nicd_sa #southafrica	Neutral
Coronavirus - Malawi: COVID-19 Daily Info Update (27 June 2021) @health_malawi #Africa #Malawi #Health… 	2021-06-28 18:36:59	APO Group English	#AFRICA #MENA	104	malawi daily info update 27 @health_malawi #malawi	Neutral
Coronavirus - Malawi: COVID-19 Daily Info Update (27 June 2021) @health_malawi #Africa #Malawi #Health… 	2021-06-28 18:34:34	APO Group English	#AFRICA #MENA	104	malawi daily info update 27 @health_malawi #malawi	Neutral
At least 14 countries in #Africa have used up all or most of their #vaccine stocks. But at least 23 others still ha… 	2021-06-28 18:21:00	The New Humanitarian		117	least 14 countries used stocks least others still	Neutral
Scaling up active surveillance for COVID-19 and training community health workers to contain its spread @WHOEMRO… 	2021-06-28 13:03:33	APO Group English	#AFRICA #MENA	114	scaling active surveillance training community health workers contain spread @whoemro	Neutral
"Passengers from the Southern African region not allowed to enter SL from 01st July
READ MORE:… "	2021-06-28 12:23:04	Newsfirst.lk Sri Lanka	Colombo, Sri Lanka	95	passengers southern african region allowed enter sl 01st july read	Neutral
